TahunBulan,JumlahPerusahaan,Volume,Nilai,IndexHargaSaham
200901,397,40558,31391,1332.67
200902,396,36829,24663,1285.48
200903,396,40082,36788,1434.07
200904,396,188504,79412,1722.77
200905,396,282751,130920,1916.83
200906,397,185472,126866,2026.78
200907,401,138406,114624,2323.24
200908,401,185121,121858,2341.54
200909,401,80123,66804,2467.59
200910,402,100300,98969,2367.7
200911,402,116416,87741,2415.84
200912,398,73098,55099,2534.36
201001,398,88248,79012,2610.8
201002,400,76400,63556,2549.03
201003,401,97681,104136,2777.3
201004,401,119513,110461,2971.25
201005,401,111216,96959,2796.96
201006,402,108188,73689,2913.68
201007,408,97266,76936,3069.28
201008,409,99116,89637,3081.88
201009,409,121598,100613,3501.3
201010,412,152911,122209,3635.32
201011,417,157479,132496,3531.21
201012,420,101249,126534,3703.51
201101,421,83940,121284,3409.17
201102,422,55616,85768,3470.35
201103,422,87360,121871,3678.67
201104,423,101324,101879,3819.62
201105,426,141309,105412,3836.97
201106,428,105679,82927,3888.57
201107,432,115958,110092,4130.8
201108,432,136806,132073,3841.73
201109,432,92916,108040,3549.03
201110,432,108765,97489,3790.85
201111,435,76970,80596,3715.08
201112,440,96907,76010,3821.99
201201,442,97611,86754,3941.69
201202,442,88923,106226,3985.21
201203,442,69026,85421,4121.55
201204,443,100264,97741,4180.73
201205,443,87554,105236,3832.82
201206,445,83897,84717,3955.58
201207,451,67085,91229,4142.34
201208,452,60397,71033,4060.33
201209,454,88409,90730,4262.56
201210,455,98477,99053,4350.29
201211,458,94252,97697,4276.14
201212,459,117867,100277,4316.69
201301,463,97907,104780,4453.7
201302,464,136954,119774,4795.79
201303,464,141112,151499,4940.99
201304,464,128263,138295,5034.07
201305,465,135960,181778,5068.63
201306,472,119400,162281,4818.9
201307,479,95011,119096,4610.38
201308,479,91423,105606,4195.09
201309,479,113009,137774,4316.18
201310,479,100552,111165,4510.63
201311,480,89003,97942,4265.44
201312,483,94061,92131,4274.18
201401,488,78078,96886,4418.76
201402,488,89697,112517,4620.22
201403,489,115971,147669,4768.28
201404,493,108673,137940,4840.15
201405,494,90306,112281,4893.91
201406,496,96246,105589,4878.58
201407,501,116638,132830,5088.8
201408,501,109811,115659,5136.86
201409,501,127460,131523,5137.58
201410,501,114011,133423,5089.55
201411,501,111326,99886,5149.89
201412,506,168797,127190,5226.95
